Date,Close,Volume,Open,High,Low
01/16/2013,$6.82,6890690,$6.77,$6.846,$6.746
01/17/2013,$6.876,7183020,$6.832,$6.97,$6.784
01/18/2013,$6.904,17775370,$6.948,$6.956,$6.764
01/22/2013,$7.038,9600655,$6.912,$7.11,$6.852
01/23/2013,$7.2,7817260,$7.004,$7.248,$6.992
01/24/2013,$7.398,9851945,$7.2,$7.544,$7.168
01/25/2013,$7.396,6438515,$7.4,$7.508,$7.36
01/28/2013,$7.606,9929460,$7.372,$7.742,$7.372
01/29/2013,$7.59,7132515,$7.62,$7.688,$7.426
01/30/2013,$7.504,4840490,$7.57,$7.6,$7.486
01/31/2013,$7.502,4506590,$7.574,$7.574,$7.386
02/01/2013,$7.66,5501950,$7.634,$7.7,$7.524
02/04/2013,$7.548,5639945,$7.68,$7.684,$7.518
02/05/2013,$7.626,6550960,$7.6,$7.73,$7.536
02/06/2013,$7.834,9464240,$7.636,$7.878,$7.5809
02/07/2013,$7.896,5982605,$7.838,$7.936,$7.79
02/08/2013,$7.848,5697665,$7.89,$8,$7.828
02/11/2013,$7.684,16328240,$7.596,$7.83,$7.5
02/12/2013,$7.578,11302045,$7.69,$7.774,$7.458
02/13/2013,$7.69,4834010,$7.66,$7.8,$7.61
02/14/2013,$7.66,4953200,$7.728,$7.75,$7.642
02/15/2013,$7.408,10087245,$7.7,$7.702,$7.39
02/19/2013,$7.856,13502700,$7.472,$7.858,$7.462
02/20/2013,$7.708,15391855,$7.86,$7.93,$7.692
02/21/2013,$7.032,45179050,$7.298,$7.478,$6.908
02/22/2013,$7.222,12726115,$7.144,$7.278,$7.12
02/25/2013,$6.876,14446185,$7.23,$7.35,$6.868
02/26/2013,$6.886,13814500,$6.892,$6.992,$6.76
02/27/2013,$7.02,9795645,$6.882,$7.082,$6.88
02/28/2013,$6.966,9824465,$7.178,$7.22,$6.874
03/01/2013,$6.93,7732000,$7,$7.016,$6.85
03/04/2013,$7.116,8788300,$6.954,$7.166,$6.94
03/05/2013,$7.33,10434845,$7.2,$7.384,$7.158
03/06/2013,$7.538,5749625,$7.402,$7.576,$7.394
03/07/2013,$7.646,5791270,$7.546,$7.73,$7.376
03/08/2013,$7.694,4560260,$7.612,$7.888,$7.472
03/11/2013,$7.82,7897200,$7.774,$7.888,$7.73
03/12/2013,$7.824,6372130,$7.78,$7.876,$7.77
03/13/2013,$7.796,4109930,$7.8,$7.898,$7.762
03/14/2013,$7.37,10104055,$7.78,$7.782,$7.354
03/15/2013,$7.058,16397885,$7.328,$7.33,$7.042
03/18/2013,$7.03,6580180,$7.06,$7.212,$6.984
03/19/2013,$7.016,5418825,$7.05,$7.12,$6.988
03/20/2013,$7.19,7114920,$7.052,$7.214,$7.032
03/21/2013,$7.202,5731435,$7.19,$7.412,$7.148
03/22/2013,$7.324,2212675,$7.24,$7.36,$7.24
03/25/2013,$7.506,11876090,$7.42,$7.704,$7.354
03/26/2013,$7.572,9027935,$7.596,$7.644,$7.532
03/27/2013,$7.632,6481415,$7.588,$7.676,$7.462
03/28/2013,$7.578,5793260,$7.646,$7.648,$7.55
04/01/2013,$8.786,70442000,$8.472,$9.336,$8.34
04/02/2013,$8.868,33004990,$8.72,$9.1,$8.702
04/03/2013,$8.22,28216025,$8.62,$8.694,$8.0421
04/04/2013,$8.402,11323710,$8.222,$8.45,$8.1622
04/05/2013,$8.274,7760485,$8.4,$8.4,$8.1
04/08/2013,$8.366,8395005,$8.394,$8.51,$8.302
04/09/2013,$8.1,8480180,$8.36,$8.366,$8.066
04/10/2013,$8.372,10605440,$8.14,$8.402,$8.122
04/11/2013,$8.718,17231710,$8.412,$8.91,$8.35
04/12/2013,$8.75,15746860,$8.65,$9.0278,$8.61
04/15/2013,$8.66,8388900,$8.7,$8.76,$8.502
04/16/2013,$9.118,15901690,$8.838,$9.228,$8.782
04/17/2013,$9.09,10592140,$9.1,$9.19,$8.908
04/18/2013,$9.394,16839435,$9.196,$9.5198,$9.078
04/19/2013,$9.566,15057680,$9.492,$9.976,$9.414
04/22/2013,$10.038,19696635,$9.72,$10.04,$9.55
04/23/2013,$10.202,18666250,$10.2,$10.584,$10.132
04/24/2013,$10.086,13149540,$10.18,$10.21,$9.796
04/25/2013,$10.4,13978175,$10.1,$10.48,$10.1
04/26/2013,$10.24,18101750,$10.626,$10.748,$10.124
04/29/2013,$10.988,18191905,$10.352,$10.998,$10.24
04/30/2013,$10.798,27612740,$11.2,$11.636,$10.752
05/01/2013,$10.656,13712965,$11.198,$11.198,$10.6
05/02/2013,$10.822,15228345,$10.77,$11.054,$10.74
05/03/2013,$10.91,16891515,$11.294,$11.294,$10.9
05/06/2013,$11.9,21825150,$11.278,$11.932,$11.1
05/07/2013,$11.102,49925205,$12.4,$12.474,$11.024
05/08/2013,$11.1573,29194845,$11.5,$11.64,$11.142
05/09/2013,$13.88,142758300,$14.024,$15.154,$12.738
05/10/2013,$15.3528,125360250,$13.93,$16.2,$13.85
05/13/2013,$17.56,111717850,$16.198,$17.6,$15.8302
05/14/2013,$16.648,185516200,$18.844,$19.424,$16.23
05/15/2013,$16.9684,83214300,$16.36,$17.376,$15.622
